Gene,OncoPredictsGenes,TMPredictsGenes,ActualLabel
ARNT,1,0,-2
TRAK1,4,0,-3
SLC9A3R2,1,0,-3
PPP2R5B,1,5,-3
PPP2R5E,1,5,-3
FKBP1A,3,0,-3
GH2,6,1,-3
GH1,6,1,-3
GHR,5,1,-3
CD40,1,1,-3
MTM1,1,0,-3
CENPS,0,1,-3
CENPX,0,1,-3
IL20,1,0,-3
RARA,1,0,-2
CDKN3,1,0,-3
RARB,1,0,-3
RARG,1,1,-3
FZD1,1,0,-3
CLK4,1,0,-3
STT3A,1,0,-3
IL1RL1,1,0,-3
RHEBL1,1,0,-3
EPHB6,1,0,-3
MAP2K3,1,0,-3
RNF168,1,2,-3
F2R,2,0,-3
UBE2M,1,0,-3
LEF1,2,2,-2
FAAP20,0,1,-3
FAAP24,0,1,-3
GNB5,1,0,-3
GNB4,1,0,-3
GNB3,1,0,-3
GNB2,1,0,-3
GNG8,1,0,-3
GNG7,1,0,-3
GNG5,1,0,-3
GNG4,1,0,-3
GNG3,1,0,-3
CDK19,1,0,-3
STAP2,1,0,-3
FBXL8,0,1,-3
CEP135,1,0,-3
CEP131,1,0,-3
CEP152,1,0,-3
CEP164,1,0,-3
CEP192,1,0,-3
SDCCAG8,1,0,-3
GRB14,3,0,-3
CEP290,1,0,-3
IL10,1,0,-2
ITGA1,0,2,-3
FRS3,1,0,-3
TAF9,1,0,-3
SPTAN1,2,0,-3
DAB2,0,2,-3
FLT3LG,2,0,-3
ING4,1,0,-3
ING5,1,0,-3
SDC2,1,0,-3
NPHS2,1,0,-3
NPHS1,1,0,-3
TAF4B,1,0,-3
TAF7L,1,0,-3
TAF9B,1,0,-3
TAF15,1,0,-2
TAF12,1,0,-3
TAF13,1,0,-3
TAF10,1,0,-3
TAF11,1,0,-3
TAF1L,1,0,-3
FBXL2,1,0,-3
TNC,1,0,-3
KSR1,8,1,-3
IL22,1,0,-3
BCL11A,1,0,-2
TP73,1,0,-3
PHLPP1,0,2,-3
PKN3,1,0,-3
RON,1,0,-3
HAUS7,1,0,-3
HAUS5,1,0,-3
HAUS6,1,0,-3
HAUS3,1,0,-3
HAUS4,1,0,-3
HAUS1,1,0,-3
HAUS2,1,0,-3
ZFYVE9,0,2,-3
DOK6,1,0,-3
IFNA1,1,0,-3
IFNA4,1,0,-3
IFNA5,1,0,-3
IFNA2,1,0,-3
IFNA8,1,0,-3
IFNA6,1,0,-3
IFNA7,1,0,-3
IFNB1,1,0,-3
ITGB3BP,1,0,-3
FZR1,1,0,-3
PCM1,1,0,-2
PCNT,1,0,-3
DYNLL2,1,0,-3
CCP110,1,0,-3
EPHA5,1,0,-2
ERAS,0,1,-3
KMT5A,1,0,-2
LRP6,2,1,1
SBF2,1,0,-3
PHLPP2,0,2,-3
PPM1D,1,0,1
FBXO42,1,0,-3
THEM4,0,2,-3
PIK3AP1,1,0,-3
CNKSR2,4,0,-3
CNKSR1,4,0,-3
DCP1A,0,1,-3
CUL1,2,0,-3
GFRA1,2,0,-3
CCNT2,1,1,-3
TMEM173,1,0,-3
SOX9,1,0,0
PARP2,1,0,-2
DUSP8,0,2,-3
SPTBN5,1,0,-3
SPTBN2,1,0,-3
SPTBN1,1,0,-3
SUB1,1,0,-3
C8A,0,1,-3
TRAT1,1,0,-3
ESRP1,4,0,-3
AKAP9,6,0,-3
PARVA,0,1,-3
RTKN,1,0,-3
SUPT16H,0,1,-3
TRIM33,0,1,-2
FAM131B,4,0,-3
SOCS5,0,1,-3
TRKA,1,0,-3
GATA1,1,0,-2
RBP1,0,1,-3
KSR2,5,0,-2
CDK5RAP2,2,0,-3
SCO2,0,1,-3
CKS1B,1,0,-2
DCTN3,1,0,-3
DCTN2,1,0,-3
SH2B1,4,0,-3
HMMR,1,0,-3
CLEC6A,2,0,-3
CLEC4E,2,0,-3
CCNH,1,0,-3
SLIT2,1,0,-3
IRAK2,0,1,-3
PPP1R13L,1,0,-3
PLEKHF1,0,1,-3
TAB3,0,1,-3
TAB1,0,1,-3
NRTN,1,0,-3
CSNK1A1L,0,1,-3
TRIM32,0,1,-3
CUL3,1,1,-2
DYNC1I2,1,0,-3
DYNC1H1,1,0,-3
THRB,0,1,-3
PARD6A,0,1,-3
DDB1,0,1,-3
GPC1,2,1,-3
CRYAB,0,1,-3
TAF4,1,0,-3
TAF2,1,0,-3
TAF7,1,0,-3
TAF6,1,0,-3
TAF5,1,0,-3
VTN,1,0,-3
TGFBR3,1,0,-3
TP53INP1,0,1,-3
HERC5,1,0,-3
HES1,1,0,-3
PVR,1,0,-3
WNT8B,1,0,-3
WNT8A,1,0,-3
FRAT2,1,0,-3
FRAT1,1,0,-3
KLF1,0,1,-3
RNF6,1,0,-3
CREB3,0,1,-3
PJA1,1,0,-3
SYP,1,0,-3
MGME1,0,1,-3
IL37,1,0,-3
ANXA1,1,0,-3
NLGN1,0,1,-3
IL7R,2,0,1
ITGA6,1,0,-3
IL27,2,0,-3
STMN1,1,0,-3
IL15,1,0,-3
RCOR1,0,1,-3
PIAS3,1,0,-3
ICOS,1,0,-3
USP9X,0,1,-3
MT-CO2,1,0,-3
ABI2,0,1,-3
IL12RB2,3,0,-3
BRMS1L,1,0,-3
IL13RA1,2,0,-3
SMG1,0,1,-1
IL33,1,0,-3
RHOG,1,0,-3
SIN3B,0,1,-3
PTN,1,0,-3
RAC2,1,0,1
Yes,1,0,-3
CLEC7A,1,0,-3
TFDP1,0,1,-3
WDR77,1,0,-3
TP53RK,0,1,-3
SMAD2,1,1,-1
DUSP9,0,2,-2
DUSP7,0,2,-3
DUSP6,0,2,-3
DUSP5,0,2,-3
DUSP4,0,2,-1
DUSP1,0,2,-3
DUSP2,0,2,-2
BCL9L,0,1,-2
IL13,2,0,-3
IL19,1,0,-3
MTMR4,2,0,-3
ADCYAP1,1,0,-3
GFRA2,1,0,-3
GFRA4,1,0,-3
GFRA3,1,0,-3
CILP,0,1,-3
FBXO31,0,1,-2
SF3A1,1,0,-3
FBXL17,1,0,-3
PTPA,1,0,-3
PLAU,1,0,-3
PDPK2P,1,0,-3
EID1,0,1,-3
MYH14,0,1,-3
PPP2R2C,1,0,-3
PSPN,1,0,-3
ACTR1A,1,0,-3
FOXM1,1,0,-3
KAT6A,1,0,-2
